Downloaded from
https://www.nutritionvalue.org

Food,Amount,Unit,Description
"BURGER KING, Original Chicken Sandwich",199,g,1 sandwich

Nutrient,Amount,Unit,DV
Calories,569,,
"Thiamin [Vitamin B1]",0.559,mg,47 %
"Riboflavin [Vitamin B2]",0.318,mg,24 %
"Niacin [Vitamin B3]",9.373,mg,59 %
"Pantothenic acid [Vitamin B5]",0.856,mg,17 %
"Vitamin B6",0.306,mg,18 %
"Folate, DFE [Vitamin B9]",95.52,mcg,24 %
"Folate, food",23.88,mcg,
"Folic acid",41.79,mcg,
"Vitamin C [Ascorbic acid]",0.4,mg,0 %
"Vitamin K",62.5,mcg,52 %
"Vitamin K1 [Phylloquinone]",47.2,mcg,
"Dihydrophylloquinone",15.3,mcg,
"Calcium",91.54,mg,7 %
"Copper",0.18,mg,20 %
"Iron",3.56,mg,20 %
"Magnesium",45.77,mg,11 %
"Manganese",0.798,mg,35 %
"Phosphorus",254.72,mg,20 %
"Potassium",390.04,mg,8 %
"Selenium",46.57,mcg,85 %
"Sodium",1269.62,mg,55 %
"Zinc",1.23,mg,11 %
"Protein",24.16,g,48 %
"Alanine",1.037,g,
"Arginine",1.363,g,
"Aspartic acid",1.749,g,
"Cystine",0.422,g,
"Glutamic acid",5.437,g,
"Glycine",1.268,g,
"Histidine",0.730,g,64 %
"Hydroxyproline",0.159,g,
"Isoleucine",1.095,g,71 %
"Leucine",1.863,g,54 %
"Lysine",1.614,g,52 %
"Methionine",0.537,g,
"Phenylalanine",1.114,g,
"Proline",2.171,g,
"Serine",0.710,g,
"Threonine",0.730,g,45 %
"Tryptophan",0.289,g,71 %
"Tyrosine",0.653,g,
"Valine",1.210,g,62 %
"Phenylalanine + Tyrosine",1.767,g,66 %
"Methionine + Cysteine",0.537,g,35 %
"Carbohydrate",52.18,g,19 %
"Fiber",4.78,g,17 %
"Sugars",6.01,g,
"Fructose",2.73,g,
"Galactose",0.00,g,
"Glucose",1.99,g,
"Lactose",0.04,g,
"Maltose",1.13,g,
"Sucrose",0.14,g,
"Net carbs",47.4,g,
"1.30 g",12.84 g,undefined,9.85
"Fat",29.233,g,37 %
"Saturated fatty acids",5.419,g,27 %
"Butanoic acid",0.002,g,
"Decanoic acid",0.010,g,
"Docosanoic acid",0.074,g,
"Dodecanoic acid",0.006,g,
"Eicosanoic acid",0.084,g,
"Heptadecanoic acid",0.030,g,
"Hexadecanoic acid",3.881,g,
"Hexanoic acid",0.000,g,
"Octadecanoic acid",1.226,g,
"Octanoic acid",0.006,g,
"Pentadecanoic acid",0.010,g,
"Tetracosanoic acid",0.034,g,
"Tetradecanoic acid",0.060,g,
"Monounsaturated fatty acids",7.371,g,
"Cis-hexadecenoic acid",0.285,g,
"Cis-octadecenoic acid",6.871,g,
"Docosenoic acid",0.002,g,
"Docosenoic cis acid",0.002,g,
"Docosenoic trans acid",0.000,g,
"Eicosenoic acid",0.135,g,
"Heptadecenoic acid",0.018,g,
"Hexadecenoic acid",0.287,g,
"Octadecenoic acid",6.915,g,
"Pentadecenoic acid",0.000,g,
"Tetracosenoic cis acid",0.006,g,
"Tetradecenoic acid",0.008,g,
"Trans-hexadecenoic acid",0.002,g,
"Trans-octadecenoic acid",0.044,g,
"Polyunsaturated fatty acids",14.368,g,
"α-linolenic acid n-3 (ALA)",1.29,g,
"γ-linolenic acid n-6 (GLA)",0.04,g,
"Cis,cis-eicosadienoic n-6 acid",0.018,g,
"Linoleic acid n-6 (LA)",12.77,g,
"Docosahexaenoic n-3 acid (DHA)",0.004,g,
"Docosapentaenoic n-3 acid (DPA)",0.004,g,
"Docosatetraenoic acid",0.020,g,
"Eicosadienoic acid",0.020,g,
"Eicosadienoic n-3 acid",0.004,g,
"Eicosadienoic n-6 acid",0.016,g,
"Eicosapentaenoic n-3 acid (EPA)",0.002,g,
"Eicosatetraenoic acid",0.054,g,
"Octadecadienoic CLAs acid",0.030,g,
"Octadecadienoic acid",12.917,g,
"Octadecatetraenoic acid",0.002,g,
"Octadecatrienoic acid",1.329,g,
"Trans-octadecadienoic acid",0.117,g,
"Fatty acids, total trans",0.163,g,
"Fatty acids, total trans-monoenoic",0.046,g,
"Fatty acids, total trans-polyenoic",0.117,g,
"Cholesterol",61.69,mg,21 %
"Ash",4.48,g,
"Water",88.95,g,

* DV is based on 2000 calories diet.

Downloaded from
https://www.nutritionvalue.org
