Downloaded from
https://www.nutritionvalue.org

Food,Amount,Unit,Description
"BURGER KING, with cheese, WHOPPER",316,g,1 item

Nutrient,Amount,Unit,DV
Calories,790,,
"Thiamin [Vitamin B1]",0.673,mg,56 %
"Riboflavin [Vitamin B2]",0.632,mg,49 %
"Niacin [Vitamin B3]",8.090,mg,51 %
"Pantothenic acid [Vitamin B5]",0.569,mg,11 %
"Vitamin B6",0.231,mg,14 %
"Folate, DFE [Vitamin B9]",227.52,mcg,57 %
"Folate, food",66.36,mcg,
"Folic acid",94.80,mcg,
"Vitamin C [Ascorbic acid]",0.6,mg,1 %
"Vitamin E (alpha-tocopherol)",0.25,mg,2 %
"Tocopherol, alpha",0.25,mg,
"Tocopherol, beta",0.03,mg,
"Tocopherol, delta",1.17,mg,
"Tocopherol, gamma",11.25,mg,
"Tocotrienol, beta",0.00,mg,
"Tocotrienol, delta",0.00,mg,
"Tocotrienol, gamma",0.00,mg,
"Vitamin K",60.4,mcg,50 %
"Vitamin K1 [Phylloquinone]",60.4,mcg,
"Dihydrophylloquinone",0.0,mcg,
"Calcium",259.12,mg,20 %
"Copper",0.17,mg,19 %
"Iron",6.32,mg,35 %
"Magnesium",56.88,mg,14 %
"Manganese",0.569,mg,25 %
"Phosphorus",357.08,mg,29 %
"Potassium",534.04,mg,11 %
"Selenium",58.14,mcg,106 %
"Sodium",1431.48,mg,62 %
"Zinc",5.06,mg,46 %
"Protein",35.36,g,71 %
"Alanine",1.864,g,
"Arginine",2.180,g,
"Aspartic acid",2.907,g,
"Cystine",0.348,g,
"Glutamic acid",7.900,g,
"Glycine",2.654,g,
"Histidine",1.011,g,88 %
"Hydroxyproline",0.474,g,
"Isoleucine",1.612,g,104 %
"Leucine",3.034,g,88 %
"Lysine",2.654,g,86 %
"Methionine",0.822,g,
"Phenylalanine",1.770,g,
"Proline",2.939,g,
"Serine",1.517,g,
"Threonine",1.390,g,85 %
"Tryptophan",0.284,g,70 %
"Tyrosine",1.201,g,
"Valine",1.896,g,97 %
"Phenylalanine + Tyrosine",2.971,g,110 %
"Methionine + Cysteine",0.822,g,53 %
"Carbohydrate",52.77,g,19 %
"Fiber",3.16,g,11 %
"Sugars",12.99,g,
"Fructose",5.25,g,
"Galactose",0.22,g,
"Glucose",0.00,g,
"Lactose",0.22,g,
"Maltose",2.18,g,
"Sucrose",5.09,g,
"Net carbs",49.61,g,
"1.48 g",,undefined,0.00
"Fat",48.443,g,62 %
"Saturated fatty acids",18.271,g,91 %
"Butanoic acid",0.423,g,
"Decanoic acid",0.316,g,
"Docosanoic acid",0.000,g,
"Dodecanoic acid",0.319,g,
"Eicosanoic acid",0.000,g,
"Heptadecanoic acid",0.370,g,
"Hexadecanoic acid",9.970,g,
"Hexanoic acid",0.174,g,
"Octadecanoic acid",4.683,g,
"Octanoic acid",0.133,g,
"Pentadecanoic acid",0.231,g,
"Tetracosanoic acid",0.000,g,
"Tetradecanoic acid",1.653,g,
"Tridecanoic acid",0.000,g,
"Monounsaturated fatty acids",15.983,g,
"Docosenoic acid",0.000,g,
"Eicosenoic acid",0.000,g,
"Heptadecenoic acid",0.231,g,
"Hexadecenoic acid",1.106,g,
"Octadecenoic acid",14.233,g,
"Pentadecenoic acid",0.000,g,
"Tetradecenoic acid",0.414,g,
"Polyunsaturated fatty acids",11.957,g,
"α-linolenic acid n-3 (ALA)",1.48,g,
"γ-linolenic acid n-6 (GLA)",0.00,g,
"Cis,cis-eicosadienoic n-6 acid",0.000,g,
"Docosahexaenoic n-3 acid (DHA)",0.000,g,
"Eicosadienoic acid",0.000,g,
"Eicosapentaenoic n-3 acid (EPA)",0.000,g,
"Eicosatetraenoic acid",0.000,g,
"Octadecadienoic acid",10.475,g,
"Octadecatrienoic acid",1.482,g,
"Cholesterol",113.76,mg,38 %
"Ash",5.88,g,
"Water",173.55,g,

* DV is based on 2000 calories diet.

Downloaded from
https://www.nutritionvalue.org
